sample,n,pearson_r,pearson_p,spearman_r,spearman_p
addm_all_sites,11,0.7519726213636484,0.007601011229384822,0.29090909090909095,0.38545696969136556
addm_exclude_candidate_boundaries,7,0.9348290150098215,0.0020102773865679595,0.8571428571428573,0.01369732661532562
state_supplement,51,0.29624395579084284,0.03479017687918354,0.2414099325291773,0.08789365984621904
