model,n,coef_pm25,std_error_ols,p_value_ols,std_error_hc3,p_value_hc3,ci_low,ci_high,r_squared
addm_all_sites,11,4.837024498100861,1.41341101910508,0.0076010112293848405,5.6476111287263375,0.3917363918989182,-6.232089912890363,15.906138909092085,0.5654628232805169
addm_exclude_candidate_boundaries,7,6.323688611746395,1.0742410128695046,0.0020102773865679617,4.201960953103087,0.132340146030411,-1.9120035207792547,14.559380744272044,0.8739052873042331
state_unadjusted,51,0.2295291110603396,0.10571696278598387,0.03479017687918345,0.07983796430271088,0.004041082260974767,0.07304957642803178,0.3860086456926474,0.08776048134260683
state_adjusted_ses,51,0.19425761812985598,,,0.11772315328797914,0.0989178939092688,-0.036475522461071164,0.4249907587207831,0.12469779730583963
