state_fips,State Name,ASD_2022_current_pct,ASD_2022_current_rate,ASD_year,ASD_source,Pb_PM25_2019_2021_mean_ugm3,Pb_PM25_2019_2021_mean_ngm3,Pb_PM25_years_available,PM25_2019_2021_mean_ugm3,PM25_years_available,median_household_income,poverty_rate_pct,bachelor_or_higher_pct,total_population,acs_year,acs_source
31,Nebraska,1.8,0.018,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.139667029854412,3,71722,10.4,33.5,1958939,2022,ACS 2022 5-year Data Profile
32,Nevada,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.178115918806153,3,71646,12.7,26.5,3104817,2022,ACS 2022 5-year Data Profile
33,New Hampshire,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.04422745001963,3,90845,7.3,39.0,1379610,2022,ACS 2022 5-year Data Profile
34,New Jersey,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.945524890735943,3,97126,9.7,42.3,9249063,2022,ACS 2022 5-year Data Profile
35,New Mexico,3.7,0.037,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,6.591766105774364,3,58722,18.3,29.1,2112463,2022,ACS 2022 5-year Data Profile
36,New York,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,6.699124164490976,3,81386,13.6,38.8,19994379,2022,ACS 2022 5-year Data Profile
37,North Carolina,1.2,0.012,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.402330318322673,3,66186,13.3,33.9,10470214,2022,ACS 2022 5-year Data Profile
38,North Dakota,2.9,0.0289999999999999,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.672600988520176,3,73959,10.8,31.4,776874,2022,ACS 2022 5-year Data Profile
39,Ohio,2.7,0.027,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.829344955900698,3,66990,13.3,30.4,11774683,2022,ACS 2022 5-year Data Profile
40,Oklahoma,4.2,0.042,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.793479956627158,3,61364,15.2,27.3,3970497,2022,ACS 2022 5-year Data Profile
41,Oregon,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,10.612925062800684,3,76632,11.9,35.5,4229374,2022,ACS 2022 5-year Data Profile
42,Pennsylvania,4.7,0.047,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.213085428852635,3,73170,11.8,33.8,12989208,2022,ACS 2022 5-year Data Profile
44,Rhode Island,1.8,0.018,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,6.030084312171714,3,81370,11.2,36.3,1094250,2022,ACS 2022 5-year Data Profile
45,South Carolina,3.1,0.031,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.514584227006895,3,63623,14.4,30.6,5142750,2022,ACS 2022 5-year Data Profile
46,South Dakota,2.1,0.021,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.527525470069606,3,69457,12.3,30.4,890342,2022,ACS 2022 5-year Data Profile
47,Tennessee,3.8,0.038,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.511158358619478,3,64035,14.0,29.7,6923772,2022,ACS 2022 5-year Data Profile
48,Texas,3.9,0.039,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.731492119766282,3,73035,13.9,32.3,29243342,2022,ACS 2022 5-year Data Profile
49,Utah,3.3,0.033,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.273673772127449,3,86833,8.5,36.1,3283809,2022,ACS 2022 5-year Data Profile
50,Vermont,2.3,0.023,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,5.751499093605454,3,74014,10.4,41.7,643816,2022,ACS 2022 5-year Data Profile
51,Virginia,4.3,0.043,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.154504174539286,3,87249,10.0,41.0,8624511,2022,ACS 2022 5-year Data Profile
53,Washington,5.7,0.057,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.089586028084467,3,90325,9.9,38.0,7688549,2022,ACS 2022 5-year Data Profile
54,West Virginia,3.2,0.032,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,8.04197679193867,3,55217,16.8,22.7,1792967,2022,ACS 2022 5-year Data Profile
55,Wisconsin,1.1,0.011,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,7.213567488451209,3,72458,10.7,32.0,5882128,2022,ACS 2022 5-year Data Profile
56,Wyoming,2.0,0.02,2022,"2022 NSCH, Indicator 2.8, age 3-17 years",,,,4.199314185652141,3,72495,10.7,29.0,577929,2022,ACS 2022 5-year Data Profile
